0,1,2,3
45278.0,53672.0,0.0,2.0
2957.0,12946.0,0.0,2.0
34852.0,40107.0,0.0,2.0
25261.0,40413.0,0.0,2.0
9748.0,44769.0,0.0,2.0
10810.0,19576.0,0.0,2.0
46266.0,54618.0,0.0,2.0
35297.0,50082.0,0.0,2.0
9455.0,41726.0,0.0,2.0
34494.0,53948.0,0.0,2.0
26587.0,57843.0,0.0,2.0
29305.0,43025.0,0.0,2.0
54060.0,56083.0,0.0,2.0
32358.0,55506.0,0.0,2.0
11976.0,15210.0,0.0,2.0
24886.0,27744.0,0.0,2.0
2604.0,23761.0,0.0,2.0
56810.0,57705.0,0.0,2.0
30650.0,36888.0,0.0,2.0
48526.0,53097.0,0.0,2.0
29412.0,43285.0,0.0,2.0
33665.0,43280.0,0.0,2.0
1406.0,53900.0,0.0,2.0
30822.0,50562.0,0.0,2.0
40153.0,54356.0,0.0,2.0
39525.0,47506.0,0.0,2.0
12770.0,36617.0,0.0,2.0
6474.0,46184.0,0.0,2.0
35990.0,41719.0,0.0,2.0
11390.0,16752.0,0.0,2.0
2028.0,14390.0,0.0,2.0
41902.0,54283.0,0.0,2.0
6977.0,26541.0,0.0,2.0
36202.0,42416.0,0.0,2.0
5858.0,56744.0,0.0,2.0
28709.0,41113.0,0.0,2.0
47143.0,51552.0,0.0,2.0
50757.0,59352.0,0.0,2.0
20301.0,29397.0,0.0,2.0
14963.0,49274.0,0.0,2.0
11171.0,46549.0,0.0,2.0
47240.0,50371.0,0.0,2.0
13601.0,30563.0,0.0,2.0
29936.0,38879.0,0.0,2.0
6159.0,25732.0,0.0,2.0
43605.0,47572.0,0.0,2.0
46883.0,53808.0,0.0,2.0
13324.0,33224.0,0.0,2.0
9858.0,44759.0,0.0,2.0
15645.0,46977.0,0.0,2.0
8186.0,46526.0,0.0,2.0
5780.0,52403.0,0.0,2.0
37902.0,53133.0,0.0,2.0
4355.0,21048.0,0.0,2.0
19771.0,25113.0,0.0,2.0
24227.0,35357.0,0.0,2.0
9353.0,21532.0,0.0,2.0
8799.0,40688.0,0.0,2.0
6107.0,24687.0,0.0,2.0
175.0,13896.0,0.0,2.0
47517.0,54462.0,0.0,2.0
